Camp Name,Contact Name,Phone Number,Email,Director(s),Location
Columbia University CUBS Camp, ,(212) 854-2233,camps@columbia.edu,Dahna Bozarth,"3030 Broadway, New York, NY 10027-6907"
Montclair YMCA Day Camp,James Goodger,(973) 415-6116,jgoodger@montclairymca.org,James Goodger,"131 Germantown Rd, West Milford, NJ 07480-3603"
Bank Street Summer Camp,Erin Kim,(212) 875-4510,camp@bankstreet.edu,Tal Magaril,"610 W 112th St, New York, NY 10025-1898"
The Park Slope Day Camp,Rachel Bosamonte,(718) 788-7732,camp@parkslopedaycamp.com,Ronny Schindler,"694 5th Ave, Brooklyn, NY 11215-6660"
Star Lake Camp,Ruben David Berberena,(212) 337-7250,Ruben.Berberena@USE.SalvationArmy.org,Ruben David Berberena,"268 Macopin Rd, Bloomingdale, NJ 07403-1001"
Debate Camp,Nick Szymanis,(888) 512-8154,info@debatecamp.com,Nick Szymanis,"16 Lincoln St # B2, Brunswick, ME 04011-1900"
Camp Sunburst at the Somerville YMCA,Eddie Norgard,(908) 722-4567x605,enorgard@gscymca.org,Eddie Norgard,"2 Green St, Somerville, NJ 08876-1620"
Bonjour Language Camps,Awantz St. Fleur,(646) 974-9220,summercamp@bonjourny.com,Gabriel Torres,"805 Columbus Ave, New York, NY 10025-5966"
Camp Riverbend,The Breene Family,(908) 580-CAMP,info@campriverbend.com,The Breene Family,"116 Hillcrest Rd, Warren, NJ 07059-5328"
Fanwood-Scotch Plains YMCA,Shannon Frank,(908) 889-8880x123,sfrank@fanwoodscotchplainsymca.org,Shannon Frank,"1340 Martine Ave, Scotch Plains, NJ 07076-2524"
Tamarack Day Camp,Terry Castro,(862) 244-4422,info@tamarackdaycamp.com,Terry Castro,"34 Park Ave, Randolph, NJ 07869-1702"
Westfield Area Y,Marty Collett,(908) 233-2700,mcollett@westfieldynj.org,Marty Collett,"220 Clark St, Westfield, NJ 07090-4012"
SOMAPY Day Camp,David Berry,(973) 762-4145,dberry@metroymcas.org,Dave Berry,"124 Dunnell Rd, Maplewood, NJ 07040-2612"
Nature Discovery Camp - Cora Hartshorn,Shannyn Wilson,(973) 376-3587,swilson@hartshornarboretum.org,Shannyn Wilson,"324 Forest Dr S, Short Hills, NJ 07078-2308"
Camp Marcella,Jessica Cohen,(973) 627-1113,Director@CampMarcella.Org,"Krystyn Gallant, Daniel Gallant & Jessica Cohen","27 Durham Rd, Rockaway, NJ 07866-4601"
Summer Stars Day Camp-Raritan Bay Area YMCA,Marivel Ramirez,(732) 442-3632,mramirez@rbaymca.org,Marivel Ramirez,"357 New Brunswick Ave, Perth Amboy, NJ 08861-3940"
Camp STAR at the Hillsborough YMCA,Eddie Norgard,(908) 722-4567x605,enorgard@gscymca.org,Eddie Norgard,"19 E Mountain Rd, Hillsborough, NJ 08844-3369"
Elks Camp Moore,Todd Thompson,(609) 651-6209,elkscampmoore@njelks.org,Todd Thompson,"5 Susquehanna Avenue, Haskell, NJ 07420"
Quest Camp, ,(973) 822-9622x2265,questcamps@madisonymca.org,Liz Kryznefski,"111 Kings Rd, Madison, NJ 07940-2122"
Morristown-Beard School Day Camp, ,(973) 539-3032x569,, ,"70 Whippany Rd, Morristown, NJ 07960-4523"
Camp Timber at the Bridgewater YMCA,Taylor Rehe,(908) 526-0688x315,trehe@gscymca.org,Taylor Rehe,"601 Garretson Rd, Bridgewater, NJ 08807-2476"
YMCA Camp Yomeca,Leon Pogach,(732) 257-4114,lpogach@raritanvalleyymca.org,Leon Pogach,"144 Tices Ln, East Brunswick, NJ 08816-2014"
River Edge Farm Riding Day Camp, ,(908) 420-1274,mercedes@riveredgefarm.com,Mercedes Rolandelli,"1575 E River Rd, Bedminster, NJ 07921-2755"
YKnots Day Camp,Jennifer MacAfee,(973) 762-4145,jmacafee@metroymcas.org,Jennifer MacAfee,"13 Jefferson Ave, Maplewood, NJ 07040-1335"
Prospect Park YMCA Summer Camp,Jasmine Rosa,(212) 912-2587,jrosa@ymcanyc.org,Jasmine Rosa,"511 7th Avenue, Brooklyn, NY 11215-4077"
New Horizons Day Camp,New Horizons Day Camp,(973) 850-6640,newhorizonsdaycamp2013@gmail.com,Seth Blender and Chris Purdue,"235 Brooklake Rd, Florham Park, NJ 07932-2205"
Camp Veritans,Carla Rudow,(973) 595-0100x276,rudowc@ymha-nj.org,Carla Rudow,"225 Pompton Rd, Haledon, NJ 07508-1665"
New Country Day Camp, ,(646) 395-4357,newcountry@14streety.org,Jennifer Sussell,"1131 Manor Rd, Staten Island, NY 10314-7014"
Camp Yachad (JCCA),Cathy Pizzella,(908) 889-8800x209,campyachad@jccnj.org,Jodi Hotra & Mallory Zipkin,"1391 Martine Ave, Scotch Plains, NJ 07076-2516"
Pioneer Trails Day Camp,Kathie Amato,(973) 992-7500,kamato@metroymcas.org,Joanne Browne,"100 Bloomfield Ave, Caldwell, NJ 07006-5336"
Gill St. Bernard's Summer Camp,Cindy Wyatt and Beth Hansen,(908) 234-0067,info@hihills.com,Cindy Wyatt,"25 St Bernards Rd, Gladstone, NJ 07934-0604"
Creative Drama Camp,Roslyn Trewick,(973) 762-4145,rtrewick@metroymcas.org,Lisa Drogon,"444 W South Orange Ave, South Orange, NJ 07079-1234"
Oak Knoll School,Dawn Cullian,(908) 522-8186,adventures@oakknoll.org,Dawn Cullinan,"44 Blackburn Rd, Summit, NJ 07901-2408"
Camp Vacamas, ,(973) 838-0942x2,info@hi4y.org,Aidan Tierney,"256 Macopin Rd, West Milford, NJ 07480-3718"
Super Summer Day Camp,Ava Collazo,(973) 992-7500,acollazo@metroymcas.org,Fran Egnezzo,"321 S Livingston Ave, Livingston, NJ 07039-3927"
The Connection Summer Camps,Jessica Fascenelli Weisenbach,(908) 273-4242ext129,Jessica.Fascenelli@TheConnectionOnline.Org,Jessica Fascenelli Weisenbach,"79 Maple St, Summit, NJ 07901-2517"
